Q13315	phosphorylation	P04637
Q13316	phosphorylation	Q00987
Q13317	phosphorylation	Q8IUQ4
Q8IUQ4	ubiquitinylation	Q9H2X6
Q9H2X6	phosphorylation	P04637
P04637	transcription	Q00987
P04637	transcription	O15297
P04637	transcription	P38936
P04637	transcription	Q07812
O15297	dephosphorylation	Q13315
O15297	dephosphorylation	Q00987
O15297	dephosphorylation	P04637
P31749	phosphorylation	Q00987
Q00987	ubiquitinylation	P04637
P38936	binding	P24864
P24864	phosphorylation	P06400
P06400	binding	Q01094
Q01094	transcription	P24864
P63104	binding	Q92934
P42336	phosphorylation	Q92934
Q92934	binding	Q07817
Q07812	binding	Q07817
